,Date,Open,Hign,Low,Close,Volume
157,2024-02-21,108.32,108.4,100.23,105.03,4752688.01
158,2024-02-22,105.04,107.1,101.53,101.76,3905642.33
159,2024-02-23,101.75,103.1,98.64,99.9,3546853.99
160,2024-02-24,99.91,104.85,98.48,104.01,2334116.02
161,2024-02-25,104.02,104.43,102.0,103.47,1967184.81
162,2024-02-26,103.47,110.89,100.29,109.9,5392138.71
163,2024-02-27,109.9,112.3,105.29,108.36,6198163.52
164,2024-02-28,108.35,119.06,106.85,119.03,11832282.01
165,2024-02-29,119.03,134.65,117.15,125.68,13847087.32
166,2024-03-01,125.68,137.8,125.61,129.43,8376631.09
167,2024-03-02,129.43,131.69,127.2,130.02,4693251.94
168,2024-03-03,130.03,132.11,124.17,130.16,5228370.86
169,2024-03-04,130.16,134.95,127.35,133.27,8053684.79
170,2024-03-05,133.26,142.72,105.0,125.31,17035242.52
171,2024-03-06,125.31,134.95,120.0,130.79,9581617.48
172,2024-03-07,130.8,149.3,130.52,143.82,10952975.3
173,2024-03-08,143.82,152.64,142.0,144.79,8096745.65
174,2024-03-09,144.79,149.15,143.54,144.29,3686876.81
175,2024-03-10,144.3,148.5,140.43,144.39,4489519.25
176,2024-03-11,144.39,150.2,136.49,148.83,7743384.35
177,2024-03-12,148.83,155.0,141.5,151.05,8930538.0
178,2024-03-13,151.06,166.73,148.71,163.9,7627285.95
179,2024-03-14,163.9,178.5,159.2,176.65,10423585.86
180,2024-03-15,176.65,188.98,164.5,183.95,17484961.6
181,2024-03-16,183.95,197.95,176.78,182.05,13017058.01
182,2024-03-17,182.05,205.2,178.55,201.86,10524537.06
183,2024-03-18,201.85,210.18,193.8,195.92,11583736.08
184,2024-03-19,195.92,198.68,166.0,169.82,16935298.87
185,2024-03-20,169.82,193.19,162.45,191.77,12365784.68
186,2024-03-21,191.76,195.68,175.84,179.46,8064316.56
187,2024-03-22,179.46,181.95,167.57,175.21,6152106.89
188,2024-03-23,175.21,179.0,170.38,172.65,3504716.61
189,2024-03-24,172.65,186.78,171.25,183.88,3578259.38
190,2024-03-25,183.87,194.6,180.92,188.99,5240091.85
191,2024-03-26,188.98,196.57,186.0,190.46,4465611.36
192,2024-03-27,190.46,192.74,180.0,186.33,5173929.09
193,2024-03-28,186.34,190.93,180.92,189.63,3602194.14
194,2024-03-29,189.64,193.0,183.39,192.01,3580115.76
195,2024-03-30,192.02,200.0,190.71,194.2,3491334.38
196,2024-03-31,194.19,203.17,193.69,202.45,2398135.45
197,2024-04-01,202.45,204.46,186.87,192.24,4599776.65
198,2024-04-02,192.24,192.24,175.92,181.53,5766777.4
199,2024-04-03,181.53,192.0,176.92,185.05,5010275.57
200,2024-04-04,185.05,190.13,180.02,184.0,3773747.36
201,2024-04-05,184.0,185.07,167.84,174.37,5000847.22
202,2024-04-06,174.37,179.89,173.54,178.68,2641869.38
203,2024-04-07,178.69,182.71,176.85,179.52,2235798.23
204,2024-04-08,179.51,184.68,175.25,180.68,3690701.97
205,2024-04-09,180.68,180.9,169.11,172.42,3401885.89
206,2024-04-10,172.41,175.5,162.28,173.31,4653467.65
207,2024-04-11,173.3,176.32,170.07,172.37,3761197.49
208,2024-04-12,172.37,175.98,141.0,153.16,6842096.22
209,2024-04-13,153.16,155.0,116.0,138.47,15444420.06
210,2024-04-14,138.47,152.84,130.45,151.25,12428370.68
211,2024-04-15,151.26,156.06,133.56,138.51,9332424.74
212,2024-04-16,138.51,140.57,126.4,136.22,9794711.9
213,2024-04-17,136.21,142.77,126.87,131.84,9559485.27
214,2024-04-18,131.84,144.25,127.62,142.07,7805067.82
215,2024-04-19,142.08,147.49,128.5,142.5,11145361.53
216,2024-04-20,142.5,152.39,139.66,151.22,4855973.67
217,2024-04-21,151.21,153.5,146.68,148.8,3646801.53
218,2024-04-22,148.81,158.5,146.63,156.95,4967360.16
219,2024-04-23,156.94,160.0,153.04,154.75,4102272.11
220,2024-04-24,154.75,159.8,145.58,147.78,6491963.0
221,2024-04-25,147.79,149.6,142.09,144.84,5417465.27
222,2024-04-26,144.83,146.19,138.74,139.23,3749353.51
223,2024-04-27,139.23,143.04,132.88,141.31,3821061.91
224,2024-04-28,141.31,144.82,137.03,137.99,2951913.56
225,2024-04-29,137.99,138.93,133.38,137.77,4267883.497
226,2024-04-30,137.79,139.77,121.21,126.77,6026555.488
227,2024-05-01,126.76,135.97,118.47,134.64,7991325.271
228,2024-05-02,134.64,140.9,128.19,137.58,5743465.621
229,2024-05-03,137.58,145.0,135.88,143.69,4524855.556
230,2024-05-04,143.7,149.14,142.22,146.05,2808003.24
231,2024-05-05,146.05,148.0,143.1,145.73,2131850.263
232,2024-05-06,145.74,156.89,145.4,152.82,4787441.567
233,2024-05-07,152.81,159.19,147.76,148.03,4486379.596
234,2024-05-08,148.03,152.0,140.0,142.18,4533265.341
235,2024-05-09,142.17,153.39,140.61,152.57,3912139.908
236,2024-05-10,152.56,155.75,144.49,146.01,4124775.208
237,2024-05-11,146.02,147.7,143.12,145.42,2017032.814
238,2024-05-12,145.42,147.8,142.5,143.43,1422547.627
239,2024-05-13,143.42,150.88,137.78,147.54,4407929.923
240,2024-05-14,147.53,149.09,141.82,142.03,3389933.371
241,2024-05-15,142.03,158.88,141.21,158.52,4885274.203
242,2024-05-16,158.52,164.79,156.46,159.37,4200112.765
243,2024-05-17,159.36,174.0,159.32,169.44,4097186.841
244,2024-05-18,169.43,176.06,168.65,172.4,2874473.997
245,2024-05-19,172.4,175.5,165.96,169.93,2696984.074
246,2024-05-20,169.93,188.32,167.47,186.7,5690568.998
247,2024-05-21,186.69,188.89,174.37,178.15,4727780.064
248,2024-05-22,178.15,185.0,174.96,176.95,4272900.127
249,2024-05-23,176.96,181.04,165.35,176.16,5598921.63
250,2024-05-24,176.15,176.15,162.5,167.7,4819660.642
251,2024-05-25,167.7,170.55,165.9,168.35,1911443.135
252,2024-05-26,168.35,168.4,161.0,163.41,3126117.989
253,2024-05-27,163.42,172.28,163.26,170.15,3260017.055
254,2024-05-28,170.15,173.24,164.92,168.68,3779251.343
255,2024-05-29,168.68,173.93,167.0,168.32,2946277.294
256,2024-05-30,168.32,173.0,163.55,166.88,3307767.047
257,2024-05-31,166.88,170.94,163.67,165.65,2592736.388
258,2024-06-01,165.65,167.95,165.64,166.14,1070498.928
259,2024-06-02,166.14,167.1,161.32,163.15,1669577.986
260,2024-06-03,163.14,167.21,161.79,164.89,2378016.532
261,2024-06-04,164.9,171.87,164.31,171.78,2124954.015
262,2024-06-05,171.78,175.6,170.0,173.54,2560223.589
263,2024-06-06,173.55,174.4,167.51,170.15,2116238.234
264,2024-06-07,170.15,172.85,152.92,162.5,3538852.091
265,2024-06-08,162.51,163.78,157.37,157.83,1789882.65
266,2024-06-09,157.83,163.04,156.52,162.12,1444905.0
267,2024-06-10,162.12,163.18,157.46,159.05,1760276.954
268,2024-06-11,159.04,159.75,145.2,149.31,3646582.777
269,2024-06-12,149.31,161.84,145.44,155.22,3851856.394
